region_type,region,season_description,total_specimens,a_2009_h1n1,a_h3,a_subtyping_not_performed,b,b_vic,b_yam,h3n2v,a_h5
States,Alabama,Season 2022-23,172,2,17,3,0,0,0,0,0
States,Alaska,Season 2022-23,2696,125,436,203,3,10,0,0,0
States,Arizona,Season 2022-23,1672,227,513,12,6,136,0,0,0
States,Arkansas,Season 2022-23,8219,99,30,97,4,2,0,0,0
States,California,Season 2022-23,10547,448,2593,253,26,56,0,0,0
States,Colorado,Season 2022-23,890,206,448,10,0,101,0,0,0
States,Connecticut,Season 2022-23,883,191,486,25,2,4,0,0,0
States,Delaware,Season 2022-23,737,100,109,23,0,11,0,0,0
States,District of Columbia,Season 2022-23,1729,77,292,17,1,19,0,0,0
States,Florida,Season 2022-23,2562,333,808,16,2,132,0,0,0
States,Georgia,Season 2022-23,3227,456,1034,206,3,155,0,0,0
States,Hawaii,Season 2022-23,896,93,270,16,14,44,0,0,0
States,Idaho,Season 2022-23,7915,401,1032,57,2,5,0,0,0
States,Illinois,Season 2022-23,54058,163,384,337,1,3,0,0,0
States,Indiana,Season 2022-23,864,17,24,3,0,4,0,0,0
States,Iowa,Season 2022-23,527,105,212,9,4,115,0,0,0
States,Kansas,Season 2022-23,1289,24,71,65,2,4,0,0,0
States,Kentucky,Season 2022-23,509,61,41,0,0,2,0,0,0
States,Louisiana,Season 2022-23,1619,27,13,1,5,5,0,0,0
States,Maine,Season 2022-23,279,7,2,0,1,1,0,0,0
States,Maryland,Season 2022-23,763,3,116,9,0,2,0,0,0
States,Massachusetts,Season 2022-23,861,101,327,2,2,1,0,0,0
States,Michigan,Season 2022-23,2088,293,495,7,6,68,0,1,0
States,Minnesota,Season 2022-23,2085,123,880,56,1,24,0,0,0
States,Mississippi,Season 2022-23,205,41,40,0,0,6,0,0,0
States,Missouri,Season 2022-23,1763,133,222,20,0,4,0,0,0
States,Montana,Season 2022-23,474,130,185,6,0,7,0,0,0
States,Nebraska,Season 2022-23,3132,35,82,196,7,6,0,0,0
States,Nevada,Season 2022-23,24186,67,120,259,5,7,0,0,0
States,New Hampshire,Season 2022-23,4146,25,29,6,1,4,0,0,0
States,New Jersey,Season 2022-23,1126,39,109,9,15,1,0,0,0
States,New Mexico,Season 2022-23,3090,343,654,60,3,27,0,1,0
States,New York,Season 2022-23,25846,105,442,461,44,9,0,0,0
States,North Carolina,Season 2022-23,987,88,250,8,0,10,0,0,0
States,North Dakota,Season 2022-23,467,82,174,1,0,1,0,0,0
